,en,vi,,
items.prologue.bad_flower.name,White Flower,Bông Tréng,,
items.prologue.bad_flower.description,A white flower I found on the grass. It appears to be a lily… I think.,Bông que tréng miềng chộ trơn cỏ. Hình như là bông loa kèng.,,
,,,,
items.prologue.white_flower.name,Wet White Flower,Bông Tréng Ướt Nhẹp,,
items.prologue.white_flower.description,A white flower I took from a vase. It's probably a Lily.,Bông que tréng miềng lấy đặng từ một bình bông. Chắc lè bông loa kèng.,,
,,,,
items.prologue.ritual_notes.name,Ritual Notes,Ghi chú Nghi thức,,
items.prologue.ritual_notes.description,I put everything I need to remember here.,Miềng đả diếc hớt nhửng cấy cần nhớ dô đây rầu,,
,,,,
items.prologue.ritual_notes2.name,Ritual Notes (Drawing),Hình vẻ Nghi thức,,
items.prologue.ritual_notes2.description,This is how it looks in my head.,Mình tưởng tượng trung trôốc hấn như vầy,,
,,,,
items.prologue.candles.name,Candles,Đèn Cầy,,
items.prologue.candles.description,A bunch of candles. I need these for the ritual.,Mớ đèn cầy xài để mần nghi thức.,,
,,,,
items.prologue.chalk.name,Chalk,Cục phấn,,
items.prologue.chalk.description,A piece of chalk. I can draw various things with it.,Một cục phấn xài để vẻ.,,
,,,,
items.prologue.curtains.name,Curtains,Rèm,,
items.prologue.curtains.description,Red blackout curtains used to block as much light as possible.,Rèm che néng màu đỏ xài để che yéng néng mặt trời.,,
,,,,
items.prologue.lighter.name,Lighter,Hộp quẹt,,
items.prologue.lighter.description,"My personal lighter. I don't smoke, but I enjoy watching things burn.",Hộp quẹt cá nhơn. Hỏng hút thuốc nhưng mờ ưa chộ mấy đồ bị cháy.,,
,,,,
items.prologue.lighter2.name,Old Lighter,Hộp quẹt Củ,,
items.prologue.lighter2.description,An old lighter I had lost a long time ago. It doesn't seem to work anymore.,Hộp quẹt củ cụa miềng bị tịch thu gức lâu. Hình như hỏng xài đặng nựa.,,
,,,,
items.prologue.scissors.name,Scissors,Cây Kéo,,
items.prologue.scissors.description,A regular pair of scissors. Not pointy enough to stab people with.,Cây kéo bình thàng. Nỏ nhọn tới nổi xiêng đặng ngừi ta.,,
,,,,
items.prologue.tuft01.name,Girl's Hair,Tóc Cun Gấy,,
items.prologue.tuft01.description,A tuft of hair I cut from the girl with brown hair.,Nạm tóc miềng đả cắt cụa cun gấy tóc màu nâu.,,
,,,,
items.prologue.tuft02.name,Girl's Hair,Tóc Cun Gấy,,
items.prologue.tuft02.description,A tuft of hair I cut from the girl with black hair.,Nạm tóc miềng đả cắt cụa cun gấy tóc màu đeng.,,
,,,,
items.prologue.tuft03.name,Girl's Hair,Tóc Cun Gấy,,
items.prologue.tuft03.description,A tuft of hair I cut from the girl with dark brown hair.,Nạm tóc miềng đả cắt cụa cun gấy tóc màu nâu túi.,,
,,,,
items.prologue.tuft00.name,My Hair,Tóc Miềng,,
items.prologue.tuft00.description,A bit of hair I cut from myself. Looking at it makes me sad.,Nạm tóc miềng đả cắt cụa miềng. Nhìn mờ chộ bùn qué.,,
,,,,
items.prologue.rune_berkana.name,Protective Rune,Rune Bảo dệ,,
items.prologue.rune_berkana.description,A rune with some ancient symbol engraved.,Miếng rune cọ khắc mớ bỉu tượng cộ xưa.,,
,,,,
items.prologue.rune_inguz.name,Protective Rune,Rune Bảo dệ,,
items.prologue.rune_inguz.description,A rune with some ancient symbol engraved.,Miếng rune cọ khắc mớ bỉu tượng cộ xưa.,,
,,,,
items.prologue.rune_kaunaz.name,Protective Rune,Rune Bảo dệ,,
items.prologue.rune_kaunaz.description,A rune with some ancient symbol engraved.,Miếng rune cọ khắc mớ bỉu tượng cộ xưa.,,
,,,,
items.prologue.girl1_notebook.name,Student's Notebook,Tập Học sanh,,
items.prologue.girl1_notebook.description,"A red notebook, probably forgotten by a student. The color and design are not my style.","Cuống tập màu đỏ, chắc cụa học sanh mô đả quên. Màu dà kỉu nỏ hạp gu của miềng.",,
,,,,
items.prologue.key_theater_club.name,Theater Club Key,Chìa Khuế CLB Kịch,,
items.prologue.key_theater_club.description,The key to open the theater club room.,Cấy chìa khuế cụa buồng CLB kịch.,,
,,,,
items.prologue.hairpin.name,Dusty Hairpin,Kẹp tóc Dính Bụi,,
items.prologue.hairpin.description,My trusty hairpin! I have a feeling this could come in handy.,Cáy kẹp tóc của miềng. Cổm chộ hắn có thể mần đặng diệc.,,
,,,,
items.prologue.key_hod.name,Fairly Normal-Looking Key,Chìa Khuế Khá Thàng,,
items.prologue.key_hod.description,A key I found on a long hallway.,Cấy chìa khuế mà miềng đả chộ trơn dảy hành lang dài.,,
,,,,
items.prologue.lettuce.name,Lettuce,Rao xà lách,,
items.prologue.lettuce.description,You're not supposed to have this in your inventory.,Cọ cáy ni trung túi đồ là quéo đặng.,,
,,,,
items.prologue.locker_key.name,Small Key,Chìa Khuế Nhỏ,,
items.prologue.locker_key.description,"A small key, probably for a locker.","Cấy chìa khuế nhỏ, chắc để mở tủ đồ.",,
,,,,
items.prologue.blueprints.name,Strange Blueprints,Bảng Thiếc Kế Lạ,,
items.prologue.blueprints.description,Blueprints for an unknown device. You can't make heads or tails out of it.,Bảng thiếc kế cho một thiếc bị mô nớ. Quéo hỉu cáy chi hớt.,,
